forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-08-02,1 day ahead cum death,2020-08-03,US,US,point,NA,154568.69562411308
2020-08-02,2 day ahead cum death,2020-08-04,US,US,point,NA,156055.13194018602
2020-08-02,3 day ahead cum death,2020-08-05,US,US,point,NA,157454.68368053436
2020-08-02,4 day ahead cum death,2020-08-06,US,US,point,NA,158735.94886678457
2020-08-02,5 day ahead cum death,2020-08-07,US,US,point,NA,160200.5887285471
2020-08-02,6 day ahead cum death,2020-08-08,US,US,point,NA,161318.4272815585
2020-08-02,7 day ahead cum death,2020-08-09,US,US,point,NA,161657.3123099804
2020-08-02,8 day ahead cum death,2020-08-10,US,US,point,NA,162908.63021108508
2020-08-02,9 day ahead cum death,2020-08-11,US,US,point,NA,164440.69752311707
2020-08-02,10 day ahead cum death,2020-08-12,US,US,point,NA,165998.92988961935
2020-08-02,11 day ahead cum death,2020-08-13,US,US,point,NA,167326.24345430732
2020-08-02,12 day ahead cum death,2020-08-14,US,US,point,NA,168790.46666187048
2020-08-02,13 day ahead cum death,2020-08-15,US,US,point,NA,169868.37128919363
2020-08-02,14 day ahead cum death,2020-08-16,US,US,point,NA,170060.51224979758
2020-08-02,1 day ahead cum death,2020-08-03,01,Alabama,point,NA,1672.3716289699078
2020-08-02,2 day ahead cum death,2020-08-04,01,Alabama,point,NA,1670.080846220255
2020-08-02,3 day ahead cum death,2020-08-05,01,Alabama,point,NA,1717.1281434297562
2020-08-02,4 day ahead cum death,2020-08-06,01,Alabama,point,NA,1748.7794350087643
2020-08-02,5 day ahead cum death,2020-08-07,01,Alabama,point,NA,1767.5382533371449
2020-08-02,6 day ahead cum death,2020-08-08,01,Alabama,point,NA,1791.0703900158405
2020-08-02,7 day ahead cum death,2020-08-09,01,Alabama,point,NA,1814.9013015329838
2020-08-02,8 day ahead cum death,2020-08-10,01,Alabama,point,NA,1907.7916727662086
2020-08-02,9 day ahead cum death,2020-08-11,01,Alabama,point,NA,1896.4553968012333
2020-08-02,10 day ahead cum death,2020-08-12,01,Alabama,point,NA,1940.6582733988762
2020-08-02,11 day ahead cum death,2020-08-13,01,Alabama,point,NA,1969.351525336504
2020-08-02,12 day ahead cum death,2020-08-14,01,Alabama,point,NA,1980.0511422753334
2020-08-02,13 day ahead cum death,2020-08-15,01,Alabama,point,NA,2001.5058206915855
2020-08-02,14 day ahead cum death,2020-08-16,01,Alabama,point,NA,2034.6205623149872
2020-08-02,1 day ahead cum death,2020-08-03,02,Alaska,point,NA,45.216042309999466
2020-08-02,2 day ahead cum death,2020-08-04,02,Alaska,point,NA,46.64632448554039
2020-08-02,3 day ahead cum death,2020-08-05,02,Alaska,point,NA,46.61978790163994
2020-08-02,4 day ahead cum death,2020-08-06,02,Alaska,point,NA,47.5989525616169
2020-08-02,5 day ahead cum death,2020-08-07,02,Alaska,point,NA,47.393599063158035
2020-08-02,6 day ahead cum death,2020-08-08,02,Alaska,point,NA,48.343209594488144
2020-08-02,7 day ahead cum death,2020-08-09,02,Alaska,point,NA,48.333454102277756
2020-08-02,8 day ahead cum death,2020-08-10,02,Alaska,point,NA,49.48849177360535
2020-08-02,9 day ahead cum death,2020-08-11,02,Alaska,point,NA,51.25318241119385
2020-08-02,10 day ahead cum death,2020-08-12,02,Alaska,point,NA,51.18566530942917
2020-08-02,11 day ahead cum death,2020-08-13,02,Alaska,point,NA,52.14475476741791
2020-08-02,12 day ahead cum death,2020-08-14,02,Alaska,point,NA,52.248153030872345
2020-08-02,13 day ahead cum death,2020-08-15,02,Alaska,point,NA,53.55505418777466
2020-08-02,14 day ahead cum death,2020-08-16,02,Alaska,point,NA,55.02965039014816
2020-08-02,1 day ahead cum death,2020-08-03,04,Arizona,point,NA,3746.950037389993
2020-08-02,2 day ahead cum death,2020-08-04,04,Arizona,point,NA,3864.992125898599
2020-08-02,3 day ahead cum death,2020-08-05,04,Arizona,point,NA,3904.4323768913746
2020-08-02,4 day ahead cum death,2020-08-06,04,Arizona,point,NA,4044.989755779505
2020-08-02,5 day ahead cum death,2020-08-07,04,Arizona,point,NA,4113.168721824885
2020-08-02,6 day ahead cum death,2020-08-08,04,Arizona,point,NA,4187.611415892839
2020-08-02,7 day ahead cum death,2020-08-09,04,Arizona,point,NA,4181.781695395708
2020-08-02,8 day ahead cum death,2020-08-10,04,Arizona,point,NA,4164.965472817422
2020-08-02,9 day ahead cum death,2020-08-11,04,Arizona,point,NA,4279.767531514168
2020-08-02,10 day ahead cum death,2020-08-12,04,Arizona,point,NA,4350.801112174988
2020-08-02,11 day ahead cum death,2020-08-13,04,Arizona,point,NA,4492.787125706673
2020-08-02,12 day ahead cum death,2020-08-14,04,Arizona,point,NA,4564.006729483604
2020-08-02,13 day ahead cum death,2020-08-15,04,Arizona,point,NA,4632.661838531494
2020-08-02,14 day ahead cum death,2020-08-16,04,Arizona,point,NA,4622.2413039803505
2020-08-02,1 day ahead cum death,2020-08-03,05,Arkansas,point,NA,498.3807888031006
2020-08-02,2 day ahead cum death,2020-08-04,05,Arkansas,point,NA,521.1746502816677
2020-08-02,3 day ahead cum death,2020-08-05,05,Arkansas,point,NA,527.559711843729
2020-08-02,4 day ahead cum death,2020-08-06,05,Arkansas,point,NA,535.1709997057915
2020-08-02,5 day ahead cum death,2020-08-07,05,Arkansas,point,NA,544.0241192579269
2020-08-02,6 day ahead cum death,2020-08-08,05,Arkansas,point,NA,548.8351629376411
2020-08-02,7 day ahead cum death,2020-08-09,05,Arkansas,point,NA,554.9760981798172
2020-08-02,8 day ahead cum death,2020-08-10,05,Arkansas,point,NA,573.2511102557182
2020-08-02,9 day ahead cum death,2020-08-11,05,Arkansas,point,NA,600.6472426056862
2020-08-02,10 day ahead cum death,2020-08-12,05,Arkansas,point,NA,608.9839899539948
2020-08-02,11 day ahead cum death,2020-08-13,05,Arkansas,point,NA,617.2991077899933
2020-08-02,12 day ahead cum death,2020-08-14,05,Arkansas,point,NA,628.2248134016991
2020-08-02,13 day ahead cum death,2020-08-15,05,Arkansas,point,NA,631.3674393594265
2020-08-02,14 day ahead cum death,2020-08-16,05,Arkansas,point,NA,638.525465041399
2020-08-02,1 day ahead cum death,2020-08-03,06,California,point,NA,9376.38479959965
2020-08-02,2 day ahead cum death,2020-08-04,06,California,point,NA,9561.04238203168
2020-08-02,3 day ahead cum death,2020-08-05,06,California,point,NA,9800.603422939777
2020-08-02,4 day ahead cum death,2020-08-06,06,California,point,NA,9927.091550290585
2020-08-02,5 day ahead cum death,2020-08-07,06,California,point,NA,10100.983094543219
2020-08-02,6 day ahead cum death,2020-08-08,06,California,point,NA,10248.478772699833
2020-08-02,7 day ahead cum death,2020-08-09,06,California,point,NA,10284.481011986734
2020-08-02,8 day ahead cum death,2020-08-10,06,California,point,NA,10281.229865252972
2020-08-02,9 day ahead cum death,2020-08-11,06,California,point,NA,10495.297108024359
2020-08-02,10 day ahead cum death,2020-08-12,06,California,point,NA,10729.658573269844
2020-08-02,11 day ahead cum death,2020-08-13,06,California,point,NA,10879.231293946505
2020-08-02,12 day ahead cum death,2020-08-14,06,California,point,NA,11065.55658620596
2020-08-02,13 day ahead cum death,2020-08-15,06,California,point,NA,11205.093692660332
2020-08-02,14 day ahead cum death,2020-08-16,06,California,point,NA,11237.956452906132
2020-08-02,1 day ahead cum death,2020-08-03,08,Colorado,point,NA,1872.2263369262218
2020-08-02,2 day ahead cum death,2020-08-04,08,Colorado,point,NA,1878.5539911687374
2020-08-02,3 day ahead cum death,2020-08-05,08,Colorado,point,NA,1896.1177715957165
2020-08-02,4 day ahead cum death,2020-08-06,08,Colorado,point,NA,1901.5325518250465
2020-08-02,5 day ahead cum death,2020-08-07,08,Colorado,point,NA,1914.5614150464535
2020-08-02,6 day ahead cum death,2020-08-08,08,Colorado,point,NA,1921.151075720787
2020-08-02,7 day ahead cum death,2020-08-09,08,Colorado,point,NA,1924.2975938618183
2020-08-02,8 day ahead cum death,2020-08-10,08,Colorado,point,NA,1927.6232392787933
2020-08-02,9 day ahead cum death,2020-08-11,08,Colorado,point,NA,1935.2027535140514
2020-08-02,10 day ahead cum death,2020-08-12,08,Colorado,point,NA,1953.51466229558
2020-08-02,11 day ahead cum death,2020-08-13,08,Colorado,point,NA,1954.4179282784462
2020-08-02,12 day ahead cum death,2020-08-14,08,Colorado,point,NA,1971.8122794032097
2020-08-02,13 day ahead cum death,2020-08-15,08,Colorado,point,NA,1980.4336398541927
2020-08-02,14 day ahead cum death,2020-08-16,08,Colorado,point,NA,1983.5519579052925
2020-08-02,1 day ahead cum death,2020-08-03,09,Connecticut,point,NA,4438.771937012672
2020-08-02,2 day ahead cum death,2020-08-04,09,Connecticut,point,NA,4443.714786887169
2020-08-02,3 day ahead cum death,2020-08-05,09,Connecticut,point,NA,4444.345235466957
2020-08-02,4 day ahead cum death,2020-08-06,09,Connecticut,point,NA,4448.811758458614
2020-08-02,5 day ahead cum death,2020-08-07,09,Connecticut,point,NA,4451.439188480377
2020-08-02,6 day ahead cum death,2020-08-08,09,Connecticut,point,NA,4451.439188480377
2020-08-02,7 day ahead cum death,2020-08-09,09,Connecticut,point,NA,4451.439188480377
2020-08-02,8 day ahead cum death,2020-08-10,09,Connecticut,point,NA,4454.1321058273315
2020-08-02,9 day ahead cum death,2020-08-11,09,Connecticut,point,NA,4460.758306801319
2020-08-02,10 day ahead cum death,2020-08-12,09,Connecticut,point,NA,4462.329649358988
2020-08-02,11 day ahead cum death,2020-08-13,09,Connecticut,point,NA,4465.226252794266
2020-08-02,12 day ahead cum death,2020-08-14,09,Connecticut,point,NA,4468.22440469265
2020-08-02,13 day ahead cum death,2020-08-15,09,Connecticut,point,NA,4468.22440469265
2020-08-02,14 day ahead cum death,2020-08-16,09,Connecticut,point,NA,4468.22440469265
2020-08-02,1 day ahead cum death,2020-08-03,10,Delaware,point,NA,580.1683464050293
2020-08-02,2 day ahead cum death,2020-08-04,10,Delaware,point,NA,581.2029144763945
2020-08-02,3 day ahead cum death,2020-08-05,10,Delaware,point,NA,582.1928629875183
2020-08-02,4 day ahead cum death,2020-08-06,10,Delaware,point,NA,582.9041800498962
2020-08-02,5 day ahead cum death,2020-08-07,10,Delaware,point,NA,599.3469839096069
2020-08-02,6 day ahead cum death,2020-08-08,10,Delaware,point,NA,609.0400080680847
2020-08-02,7 day ahead cum death,2020-08-09,10,Delaware,point,NA,608.8039693832397
2020-08-02,8 day ahead cum death,2020-08-10,10,Delaware,point,NA,603.7847676277161
2020-08-02,9 day ahead cum death,2020-08-11,10,Delaware,point,NA,604.4261758327484
2020-08-02,10 day ahead cum death,2020-08-12,10,Delaware,point,NA,605.4235544204712
2020-08-02,11 day ahead cum death,2020-08-13,10,Delaware,point,NA,602.9849610328675
2020-08-02,12 day ahead cum death,2020-08-14,10,Delaware,point,NA,617.4217131137848
2020-08-02,13 day ahead cum death,2020-08-15,10,Delaware,point,NA,630.3377203941345
2020-08-02,14 day ahead cum death,2020-08-16,10,Delaware,point,NA,630.3299703598022
2020-08-02,1 day ahead cum death,2020-08-03,12,Florida,point,NA,7158.714788377285
2020-08-02,2 day ahead cum death,2020-08-04,12,Florida,point,NA,7386.753035545349
2020-08-02,3 day ahead cum death,2020-08-05,12,Florida,point,NA,7613.772660076618
2020-08-02,4 day ahead cum death,2020-08-06,12,Florida,point,NA,7862.596538543701
2020-08-02,5 day ahead cum death,2020-08-07,12,Florida,point,NA,8146.407571256161
2020-08-02,6 day ahead cum death,2020-08-08,12,Florida,point,NA,8362.520245730877
2020-08-02,7 day ahead cum death,2020-08-09,12,Florida,point,NA,8373.597013175488
2020-08-02,8 day ahead cum death,2020-08-10,12,Florida,point,NA,8423.796645700932
2020-08-02,9 day ahead cum death,2020-08-11,12,Florida,point,NA,8653.438781380653
2020-08-02,10 day ahead cum death,2020-08-12,12,Florida,point,NA,8912.72299849987
2020-08-02,11 day ahead cum death,2020-08-13,12,Florida,point,NA,9195.059472799301
2020-08-02,12 day ahead cum death,2020-08-14,12,Florida,point,NA,9461.5588606596
2020-08-02,13 day ahead cum death,2020-08-15,12,Florida,point,NA,9659.944225907326
2020-08-02,14 day ahead cum death,2020-08-16,12,Florida,point,NA,9606.978546977043
2020-08-02,1 day ahead cum death,2020-08-03,13,Georgia,point,NA,3778.008747667074
2020-08-02,2 day ahead cum death,2020-08-04,13,Georgia,point,NA,3841.344971001148
2020-08-02,3 day ahead cum death,2020-08-05,13,Georgia,point,NA,3934.710079908371
2020-08-02,4 day ahead cum death,2020-08-06,13,Georgia,point,NA,3981.1161294579506
2020-08-02,5 day ahead cum death,2020-08-07,13,Georgia,point,NA,4065.9733954668045
2020-08-02,6 day ahead cum death,2020-08-08,13,Georgia,point,NA,4146.161287248135
2020-08-02,7 day ahead cum death,2020-08-09,13,Georgia,point,NA,4161.4459727704525
2020-08-02,8 day ahead cum death,2020-08-10,13,Georgia,point,NA,4172.94749674201
2020-08-02,9 day ahead cum death,2020-08-11,13,Georgia,point,NA,4257.747722744942
2020-08-02,10 day ahead cum death,2020-08-12,13,Georgia,point,NA,4355.5716970562935
2020-08-02,11 day ahead cum death,2020-08-13,13,Georgia,point,NA,4409.547585964203
2020-08-02,12 day ahead cum death,2020-08-14,13,Georgia,point,NA,4493.253179073334
2020-08-02,13 day ahead cum death,2020-08-15,13,Georgia,point,NA,4588.331126093864
2020-08-02,14 day ahead cum death,2020-08-16,13,Georgia,point,NA,4614.184453189373
2020-08-02,1 day ahead cum death,2020-08-03,16,Idaho,point,NA,223.00041019916534
2020-08-02,2 day ahead cum death,2020-08-04,16,Idaho,point,NA,235.8848060965538
2020-08-02,3 day ahead cum death,2020-08-05,16,Idaho,point,NA,245.82117003202438
2020-08-02,4 day ahead cum death,2020-08-06,16,Idaho,point,NA,246.4590505361557
2020-08-02,5 day ahead cum death,2020-08-07,16,Idaho,point,NA,259.93159517645836
2020-08-02,6 day ahead cum death,2020-08-08,16,Idaho,point,NA,269.18337085843086
2020-08-02,7 day ahead cum death,2020-08-09,16,Idaho,point,NA,268.0633763074875
2020-08-02,8 day ahead cum death,2020-08-10,16,Idaho,point,NA,273.3415029346943
2020-08-02,9 day ahead cum death,2020-08-11,16,Idaho,point,NA,288.9534527361393
2020-08-02,10 day ahead cum death,2020-08-12,16,Idaho,point,NA,299.99724370241165
2020-08-02,11 day ahead cum death,2020-08-13,16,Idaho,point,NA,301.5407229959965
2020-08-02,12 day ahead cum death,2020-08-14,16,Idaho,point,NA,313.68237778544426
2020-08-02,13 day ahead cum death,2020-08-15,16,Idaho,point,NA,320.6827141940594
2020-08-02,14 day ahead cum death,2020-08-16,16,Idaho,point,NA,316.4942261874676
2020-08-02,1 day ahead cum death,2020-08-03,17,Illinois,point,NA,7585.823798954487
2020-08-02,2 day ahead cum death,2020-08-04,17,Illinois,point,NA,7614.776277661323
2020-08-02,3 day ahead cum death,2020-08-05,17,Illinois,point,NA,7627.10471150279
2020-08-02,4 day ahead cum death,2020-08-06,17,Illinois,point,NA,7647.992362380029
2020-08-02,5 day ahead cum death,2020-08-07,17,Illinois,point,NA,7663.803227573633
2020-08-02,6 day ahead cum death,2020-08-08,17,Illinois,point,NA,7674.327322214842
2020-08-02,7 day ahead cum death,2020-08-09,17,Illinois,point,NA,7689.6151034832
2020-08-02,8 day ahead cum death,2020-08-10,17,Illinois,point,NA,7725.389436304569
2020-08-02,9 day ahead cum death,2020-08-11,17,Illinois,point,NA,7754.411437213421
2020-08-02,10 day ahead cum death,2020-08-12,17,Illinois,point,NA,7767.427500545979
2020-08-02,11 day ahead cum death,2020-08-13,17,Illinois,point,NA,7785.927309572697
2020-08-02,12 day ahead cum death,2020-08-14,17,Illinois,point,NA,7805.202598035335
2020-08-02,13 day ahead cum death,2020-08-15,17,Illinois,point,NA,7815.4152666032305
2020-08-02,14 day ahead cum death,2020-08-16,17,Illinois,point,NA,7837.626639127731
2020-08-02,1 day ahead cum death,2020-08-03,18,Indiana,point,NA,2794.3970959186554
2020-08-02,2 day ahead cum death,2020-08-04,18,Indiana,point,NA,2814.3162419199944
2020-08-02,3 day ahead cum death,2020-08-05,18,Indiana,point,NA,2823.496704131365
2020-08-02,4 day ahead cum death,2020-08-06,18,Indiana,point,NA,2837.8588778674603
2020-08-02,5 day ahead cum death,2020-08-07,18,Indiana,point,NA,2858.1202225387096
2020-08-02,6 day ahead cum death,2020-08-08,18,Indiana,point,NA,2863.638463318348
2020-08-02,7 day ahead cum death,2020-08-09,18,Indiana,point,NA,2871.2114831507206
2020-08-02,8 day ahead cum death,2020-08-10,18,Indiana,point,NA,2880.948088437319
2020-08-02,9 day ahead cum death,2020-08-11,18,Indiana,point,NA,2898.906355291605
2020-08-02,10 day ahead cum death,2020-08-12,18,Indiana,point,NA,2905.007842898369
2020-08-02,11 day ahead cum death,2020-08-13,18,Indiana,point,NA,2922.069648504257
2020-08-02,12 day ahead cum death,2020-08-14,18,Indiana,point,NA,2946.5737412273884
2020-08-02,13 day ahead cum death,2020-08-15,18,Indiana,point,NA,2952.1388991475105
2020-08-02,14 day ahead cum death,2020-08-16,18,Indiana,point,NA,2957.3316425681114
2020-08-02,1 day ahead cum death,2020-08-03,19,Iowa,point,NA,919.9354048967361
2020-08-02,2 day ahead cum death,2020-08-04,19,Iowa,point,NA,922.0029282271862
2020-08-02,3 day ahead cum death,2020-08-05,19,Iowa,point,NA,934.9939873814583
2020-08-02,4 day ahead cum death,2020-08-06,19,Iowa,point,NA,944.1796527802944
2020-08-02,5 day ahead cum death,2020-08-07,19,Iowa,point,NA,949.9742375016212
2020-08-02,6 day ahead cum death,2020-08-08,19,Iowa,point,NA,950.5693443715572
2020-08-02,7 day ahead cum death,2020-08-09,19,Iowa,point,NA,953.9632632732391
2020-08-02,8 day ahead cum death,2020-08-10,19,Iowa,point,NA,972.4856757223606
2020-08-02,9 day ahead cum death,2020-08-11,19,Iowa,point,NA,972.6865774989128
2020-08-02,10 day ahead cum death,2020-08-12,19,Iowa,point,NA,986.9830095767975
2020-08-02,11 day ahead cum death,2020-08-13,19,Iowa,point,NA,995.2826535701752
2020-08-02,12 day ahead cum death,2020-08-14,19,Iowa,point,NA,1000.6592475473881
2020-08-02,13 day ahead cum death,2020-08-15,19,Iowa,point,NA,1002.1824297606945
2020-08-02,14 day ahead cum death,2020-08-16,19,Iowa,point,NA,1005.2564609348774
2020-08-02,1 day ahead cum death,2020-08-03,20,Kansas,point,NA,438.8212193250656
2020-08-02,2 day ahead cum death,2020-08-04,20,Kansas,point,NA,446.4712867438793
2020-08-02,3 day ahead cum death,2020-08-05,20,Kansas,point,NA,452.2936917245388
2020-08-02,4 day ahead cum death,2020-08-06,20,Kansas,point,NA,459.1904918551445
2020-08-02,5 day ahead cum death,2020-08-07,20,Kansas,point,NA,462.343136548996
2020-08-02,6 day ahead cum death,2020-08-08,20,Kansas,point,NA,463.6797656416893
2020-08-02,7 day ahead cum death,2020-08-09,20,Kansas,point,NA,467.0140443444252
2020-08-02,8 day ahead cum death,2020-08-10,20,Kansas,point,NA,477.2601348757744
2020-08-02,9 day ahead cum death,2020-08-11,20,Kansas,point,NA,483.84998789429665
