forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-05-17,1 day ahead cum death,2020-05-18,US,US,point,NA,89893.15660893917
2020-05-17,2 day ahead cum death,2020-05-19,US,US,point,NA,91545.46872878075
2020-05-17,3 day ahead cum death,2020-05-20,US,US,point,NA,93107.68607568741
2020-05-17,4 day ahead cum death,2020-05-21,US,US,point,NA,94854.57788521051
2020-05-17,5 day ahead cum death,2020-05-22,US,US,point,NA,96505.71876347065
2020-05-17,6 day ahead cum death,2020-05-23,US,US,point,NA,97676.89426702261
2020-05-17,7 day ahead cum death,2020-05-24,US,US,point,NA,98234.00770241022
2020-05-17,8 day ahead cum death,2020-05-25,US,US,point,NA,97383.77487385273
2020-05-17,9 day ahead cum death,2020-05-26,US,US,point,NA,98800.94577240944
2020-05-17,10 day ahead cum death,2020-05-27,US,US,point,NA,100211.04285645485
2020-05-17,11 day ahead cum death,2020-05-28,US,US,point,NA,101932.08741956949
2020-05-17,12 day ahead cum death,2020-05-29,US,US,point,NA,103559.00974708796
2020-05-17,13 day ahead cum death,2020-05-30,US,US,point,NA,104653.46776098013
2020-05-17,14 day ahead cum death,2020-05-31,US,US,point,NA,105131.31208014488
2020-05-17,1 day ahead cum death,2020-05-18,01,Alabama,point,NA,483.6115999221802
2020-05-17,2 day ahead cum death,2020-05-19,01,Alabama,point,NA,512.9308418035507
2020-05-17,3 day ahead cum death,2020-05-20,01,Alabama,point,NA,528.8024253249168
2020-05-17,4 day ahead cum death,2020-05-21,01,Alabama,point,NA,561.1093133687973
2020-05-17,5 day ahead cum death,2020-05-22,01,Alabama,point,NA,571.5428158044815
2020-05-17,6 day ahead cum death,2020-05-23,01,Alabama,point,NA,572.9762572050095
2020-05-17,7 day ahead cum death,2020-05-24,01,Alabama,point,NA,574.0128087997437
2020-05-17,8 day ahead cum death,2020-05-25,01,Alabama,point,NA,557.0755423307419
2020-05-17,9 day ahead cum death,2020-05-26,01,Alabama,point,NA,592.1699845790863
2020-05-17,10 day ahead cum death,2020-05-27,01,Alabama,point,NA,606.510114967823
2020-05-17,11 day ahead cum death,2020-05-28,01,Alabama,point,NA,630.4126332998276
2020-05-17,12 day ahead cum death,2020-05-29,01,Alabama,point,NA,638.84583735466
2020-05-17,13 day ahead cum death,2020-05-30,01,Alabama,point,NA,640.8608754873276
2020-05-17,14 day ahead cum death,2020-05-31,01,Alabama,point,NA,639.302564740181
2020-05-17,1 day ahead cum death,2020-05-18,02,Alaska,point,NA,51.24058926105499
2020-05-17,2 day ahead cum death,2020-05-19,02,Alaska,point,NA,51.24058926105499
2020-05-17,3 day ahead cum death,2020-05-20,02,Alaska,point,NA,51.24058926105499
2020-05-17,4 day ahead cum death,2020-05-21,02,Alaska,point,NA,51.24058926105499
2020-05-17,5 day ahead cum death,2020-05-22,02,Alaska,point,NA,51.24058926105499
2020-05-17,6 day ahead cum death,2020-05-23,02,Alaska,point,NA,51.24058926105499
2020-05-17,7 day ahead cum death,2020-05-24,02,Alaska,point,NA,51.24058926105499
2020-05-17,8 day ahead cum death,2020-05-25,02,Alaska,point,NA,70.48117852210999
2020-05-17,9 day ahead cum death,2020-05-26,02,Alaska,point,NA,70.48117852210999
2020-05-17,10 day ahead cum death,2020-05-27,02,Alaska,point,NA,70.48117852210999
2020-05-17,11 day ahead cum death,2020-05-28,02,Alaska,point,NA,70.48117852210999
2020-05-17,12 day ahead cum death,2020-05-29,02,Alaska,point,NA,70.48117852210999
2020-05-17,13 day ahead cum death,2020-05-30,02,Alaska,point,NA,70.48117852210999
2020-05-17,14 day ahead cum death,2020-05-31,02,Alaska,point,NA,70.48117852210999
2020-05-17,1 day ahead cum death,2020-05-18,04,Arizona,point,NA,588.3757692575455
2020-05-17,2 day ahead cum death,2020-05-19,04,Arizona,point,NA,651.5690983533859
2020-05-17,3 day ahead cum death,2020-05-20,04,Arizona,point,NA,687.5586137771606
2020-05-17,4 day ahead cum death,2020-05-21,04,Arizona,point,NA,710.3385535478592
2020-05-17,5 day ahead cum death,2020-05-22,04,Arizona,point,NA,793.8751702308655
2020-05-17,6 day ahead cum death,2020-05-23,04,Arizona,point,NA,852.8334193229675
2020-05-17,7 day ahead cum death,2020-05-24,04,Arizona,point,NA,843.215526342392
2020-05-17,8 day ahead cum death,2020-05-25,04,Arizona,point,NA,754.5848673582077
2020-05-17,9 day ahead cum death,2020-05-26,04,Arizona,point,NA,771.6002960205078
2020-05-17,10 day ahead cum death,2020-05-27,04,Arizona,point,NA,832.5385584831238
2020-05-17,11 day ahead cum death,2020-05-28,04,Arizona,point,NA,844.9396795034409
2020-05-17,12 day ahead cum death,2020-05-29,04,Arizona,point,NA,875.4287785291672
2020-05-17,13 day ahead cum death,2020-05-30,04,Arizona,point,NA,947.972494840622
2020-05-17,14 day ahead cum death,2020-05-31,04,Arizona,point,NA,938.5225458145142
2020-05-17,1 day ahead cum death,2020-05-18,05,Arkansas,point,NA,200.11867904663086
2020-05-17,2 day ahead cum death,2020-05-19,05,Arkansas,point,NA,200.49997514486313
2020-05-17,3 day ahead cum death,2020-05-20,05,Arkansas,point,NA,201.16435116529465
2020-05-17,4 day ahead cum death,2020-05-21,05,Arkansas,point,NA,200.95717179775238
2020-05-17,5 day ahead cum death,2020-05-22,05,Arkansas,point,NA,201.04299902915955
2020-05-17,6 day ahead cum death,2020-05-23,05,Arkansas,point,NA,201.00833702087402
2020-05-17,7 day ahead cum death,2020-05-24,05,Arkansas,point,NA,203.1854156255722
2020-05-17,8 day ahead cum death,2020-05-25,05,Arkansas,point,NA,255.6483303308487
2020-05-17,9 day ahead cum death,2020-05-26,05,Arkansas,point,NA,255.94424098730087
2020-05-17,10 day ahead cum death,2020-05-27,05,Arkansas,point,NA,256.2983333468437
2020-05-17,11 day ahead cum death,2020-05-28,05,Arkansas,point,NA,256.2404098510742
2020-05-17,12 day ahead cum death,2020-05-29,05,Arkansas,point,NA,256.4014376401901
2020-05-17,13 day ahead cum death,2020-05-30,05,Arkansas,point,NA,257.38971078395844
2020-05-17,14 day ahead cum death,2020-05-31,05,Arkansas,point,NA,258.3793399333954
2020-05-17,1 day ahead cum death,2020-05-18,06,California,point,NA,3143.2279875278473
2020-05-17,2 day ahead cum death,2020-05-19,06,California,point,NA,3256.6534061431885
2020-05-17,3 day ahead cum death,2020-05-20,06,California,point,NA,3332.819674015045
2020-05-17,4 day ahead cum death,2020-05-21,06,California,point,NA,3426.916535139084
2020-05-17,5 day ahead cum death,2020-05-22,06,California,point,NA,3511.4335129261017
2020-05-17,6 day ahead cum death,2020-05-23,06,California,point,NA,3598.535316467285
2020-05-17,7 day ahead cum death,2020-05-24,06,California,point,NA,3626.3527468442917
2020-05-17,8 day ahead cum death,2020-05-25,06,California,point,NA,3519.343982696533
2020-05-17,9 day ahead cum death,2020-05-26,06,California,point,NA,3629.610343694687
2020-05-17,10 day ahead cum death,2020-05-27,06,California,point,NA,3684.829815387726
2020-05-17,11 day ahead cum death,2020-05-28,06,California,point,NA,3791.295288205147
2020-05-17,12 day ahead cum death,2020-05-29,06,California,point,NA,3890.48539185524
2020-05-17,13 day ahead cum death,2020-05-30,06,California,point,NA,3972.633156776428
2020-05-17,14 day ahead cum death,2020-05-31,06,California,point,NA,3994.9433768987656
2020-05-17,1 day ahead cum death,2020-05-18,08,Colorado,point,NA,1138.1130135059357
2020-05-17,2 day ahead cum death,2020-05-19,08,Colorado,point,NA,1171.6705107688904
2020-05-17,3 day ahead cum death,2020-05-20,08,Colorado,point,NA,1218.1098001003265
2020-05-17,4 day ahead cum death,2020-05-21,08,Colorado,point,NA,1252.564127445221
2020-05-17,5 day ahead cum death,2020-05-22,08,Colorado,point,NA,1298.5117045640945
2020-05-17,6 day ahead cum death,2020-05-23,08,Colorado,point,NA,1337.327264904976
2020-05-17,7 day ahead cum death,2020-05-24,08,Colorado,point,NA,1358.7668615579605
2020-05-17,8 day ahead cum death,2020-05-25,08,Colorado,point,NA,1252.9443457126617
2020-05-17,9 day ahead cum death,2020-05-26,08,Colorado,point,NA,1272.251206278801
2020-05-17,10 day ahead cum death,2020-05-27,08,Colorado,point,NA,1338.386837720871
2020-05-17,11 day ahead cum death,2020-05-28,08,Colorado,point,NA,1375.0337485074997
2020-05-17,12 day ahead cum death,2020-05-29,08,Colorado,point,NA,1435.625893175602
2020-05-17,13 day ahead cum death,2020-05-30,08,Colorado,point,NA,1486.9968503713608
2020-05-17,14 day ahead cum death,2020-05-31,08,Colorado,point,NA,1511.2666832208633
2020-05-17,1 day ahead cum death,2020-05-18,09,Connecticut,point,NA,3240.4479180574417
2020-05-17,2 day ahead cum death,2020-05-19,09,Connecticut,point,NA,3276.9362875223164
2020-05-17,3 day ahead cum death,2020-05-20,09,Connecticut,point,NA,3360.6157505512238
2020-05-17,4 day ahead cum death,2020-05-21,09,Connecticut,point,NA,3456.556527495384
2020-05-17,5 day ahead cum death,2020-05-22,09,Connecticut,point,NA,3517.8513691425323
2020-05-17,6 day ahead cum death,2020-05-23,09,Connecticut,point,NA,3564.753530025482
2020-05-17,7 day ahead cum death,2020-05-24,09,Connecticut,point,NA,3644.4439318180084
2020-05-17,8 day ahead cum death,2020-05-25,09,Connecticut,point,NA,3468.3258652687073
2020-05-17,9 day ahead cum death,2020-05-26,09,Connecticut,point,NA,3502.8886424303055
2020-05-17,10 day ahead cum death,2020-05-27,09,Connecticut,point,NA,3583.8487725257874
2020-05-17,11 day ahead cum death,2020-05-28,09,Connecticut,point,NA,3678.26809155941
2020-05-17,12 day ahead cum death,2020-05-29,09,Connecticut,point,NA,3738.506332397461
2020-05-17,13 day ahead cum death,2020-05-30,09,Connecticut,point,NA,3783.2482907176013
2020-05-17,14 day ahead cum death,2020-05-31,09,Connecticut,point,NA,3869.6870923042297
2020-05-17,1 day ahead cum death,2020-05-18,10,Delaware,point,NA,256.3889455795288
2020-05-17,2 day ahead cum death,2020-05-19,10,Delaware,point,NA,266.3602132797241
2020-05-17,3 day ahead cum death,2020-05-20,10,Delaware,point,NA,278.7957396507263
2020-05-17,4 day ahead cum death,2020-05-21,10,Delaware,point,NA,290.9327836036682
2020-05-17,5 day ahead cum death,2020-05-22,10,Delaware,point,NA,301.1321771144867
2020-05-17,6 day ahead cum death,2020-05-23,10,Delaware,point,NA,322.4745090007782
2020-05-17,7 day ahead cum death,2020-05-24,10,Delaware,point,NA,316.3849263191223
2020-05-17,8 day ahead cum death,2020-05-25,10,Delaware,point,NA,284.0854842662811
2020-05-17,9 day ahead cum death,2020-05-26,10,Delaware,point,NA,296.7166862487793
2020-05-17,10 day ahead cum death,2020-05-27,10,Delaware,point,NA,312.1691880226135
2020-05-17,11 day ahead cum death,2020-05-28,10,Delaware,point,NA,329.2735662460327
2020-05-17,12 day ahead cum death,2020-05-29,10,Delaware,point,NA,334.9226281642914
2020-05-17,13 day ahead cum death,2020-05-30,10,Delaware,point,NA,363.5192873477936
2020-05-17,14 day ahead cum death,2020-05-31,10,Delaware,point,NA,358.0584707260132
2020-05-17,1 day ahead cum death,2020-05-18,12,Florida,point,NA,1926.1588356494904
2020-05-17,2 day ahead cum death,2020-05-19,12,Florida,point,NA,1971.7306801080704
2020-05-17,3 day ahead cum death,2020-05-20,12,Florida,point,NA,2034.2263842821121
2020-05-17,4 day ahead cum death,2020-05-21,12,Florida,point,NA,2093.3277645111084
2020-05-17,5 day ahead cum death,2020-05-22,12,Florida,point,NA,2139.2260950803757
2020-05-17,6 day ahead cum death,2020-05-23,12,Florida,point,NA,2186.660070180893
2020-05-17,7 day ahead cum death,2020-05-24,12,Florida,point,NA,2192.500002861023
2020-05-17,8 day ahead cum death,2020-05-25,12,Florida,point,NA,2131.3233190774918
2020-05-17,9 day ahead cum death,2020-05-26,12,Florida,point,NA,2171.880463898182
2020-05-17,10 day ahead cum death,2020-05-27,12,Florida,point,NA,2220.1517775058746
2020-05-17,11 day ahead cum death,2020-05-28,12,Florida,point,NA,2270.5410040020943
2020-05-17,12 day ahead cum death,2020-05-29,12,Florida,point,NA,2303.6131232380867
2020-05-17,13 day ahead cum death,2020-05-30,12,Florida,point,NA,2347.044433414936
2020-05-17,14 day ahead cum death,2020-05-31,12,Florida,point,NA,2351.7085694670677
2020-05-17,1 day ahead cum death,2020-05-18,13,Georgia,point,NA,1636.1447533369064
2020-05-17,2 day ahead cum death,2020-05-19,13,Georgia,point,NA,1690.9689573645592
2020-05-17,3 day ahead cum death,2020-05-20,13,Georgia,point,NA,1708.0273203253746
2020-05-17,4 day ahead cum death,2020-05-21,13,Georgia,point,NA,1728.1942555904388
2020-05-17,5 day ahead cum death,2020-05-22,13,Georgia,point,NA,1777.5051065683365
2020-05-17,6 day ahead cum death,2020-05-23,13,Georgia,point,NA,1786.5749161243439
2020-05-17,7 day ahead cum death,2020-05-24,13,Georgia,point,NA,1795.693169772625
2020-05-17,8 day ahead cum death,2020-05-25,13,Georgia,point,NA,1806.5304188132286
2020-05-17,9 day ahead cum death,2020-05-26,13,Georgia,point,NA,1862.51195448637
