forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-04-12,1 day ahead cum death,2020-04-13,US,US,point,NA,25919.729797422886
2020-04-12,2 day ahead cum death,2020-04-14,US,US,point,NA,29628.373723447323
2020-04-12,3 day ahead cum death,2020-04-15,US,US,point,NA,32765.25663474202
2020-04-12,4 day ahead cum death,2020-04-16,US,US,point,NA,35796.51963484287
2020-04-12,5 day ahead cum death,2020-04-17,US,US,point,NA,38546.63961419463
2020-04-12,6 day ahead cum death,2020-04-18,US,US,point,NA,40951.66578835249
2020-04-12,7 day ahead cum death,2020-04-19,US,US,point,NA,42803.27911776304
2020-04-12,8 day ahead cum death,2020-04-20,US,US,point,NA,40643.962669968605
2020-04-12,9 day ahead cum death,2020-04-21,US,US,point,NA,44841.299374729395
2020-04-12,10 day ahead cum death,2020-04-22,US,US,point,NA,47934.86122429371
2020-04-12,11 day ahead cum death,2020-04-23,US,US,point,NA,51107.83143392205
2020-04-12,12 day ahead cum death,2020-04-24,US,US,point,NA,53828.60953825712
2020-04-12,13 day ahead cum death,2020-04-25,US,US,point,NA,56440.282034784555
2020-04-12,14 day ahead cum death,2020-04-26,US,US,point,NA,58649.49717596173
2020-04-12,1 day ahead cum death,2020-04-13,01,Alabama,point,NA,146.41243794560432
2020-04-12,2 day ahead cum death,2020-04-14,01,Alabama,point,NA,162.80332931876183
2020-04-12,3 day ahead cum death,2020-04-15,01,Alabama,point,NA,162.77060589194298
2020-04-12,4 day ahead cum death,2020-04-16,01,Alabama,point,NA,172.83876371383667
2020-04-12,5 day ahead cum death,2020-04-17,01,Alabama,point,NA,183.88251727819443
2020-04-12,6 day ahead cum death,2020-04-18,01,Alabama,point,NA,204.01158666610718
2020-04-12,7 day ahead cum death,2020-04-19,01,Alabama,point,NA,207.7047993838787
2020-04-12,8 day ahead cum death,2020-04-20,01,Alabama,point,NA,219.90154033899307
2020-04-12,9 day ahead cum death,2020-04-21,01,Alabama,point,NA,236.21967631578445
2020-04-12,10 day ahead cum death,2020-04-22,01,Alabama,point,NA,236.4206759929657
2020-04-12,11 day ahead cum death,2020-04-23,01,Alabama,point,NA,245.96987256407738
2020-04-12,12 day ahead cum death,2020-04-24,01,Alabama,point,NA,257.2706196010113
2020-04-12,13 day ahead cum death,2020-04-25,01,Alabama,point,NA,273.5110231935978
2020-04-12,14 day ahead cum death,2020-04-26,01,Alabama,point,NA,278.32395577430725
2020-04-12,1 day ahead cum death,2020-04-13,02,Alaska,point,NA,36.468773037195206
2020-04-12,2 day ahead cum death,2020-04-14,02,Alaska,point,NA,40.64910116791725
2020-04-12,3 day ahead cum death,2020-04-15,02,Alaska,point,NA,40.54392433166504
2020-04-12,4 day ahead cum death,2020-04-16,02,Alaska,point,NA,40.37671875953674
2020-04-12,5 day ahead cum death,2020-04-17,02,Alaska,point,NA,40.39178204536438
2020-04-12,6 day ahead cum death,2020-04-18,02,Alaska,point,NA,40.22629404067993
2020-04-12,7 day ahead cum death,2020-04-19,02,Alaska,point,NA,40.4346464574337
2020-04-12,8 day ahead cum death,2020-04-20,02,Alaska,point,NA,46.79217904806137
2020-04-12,9 day ahead cum death,2020-04-21,02,Alaska,point,NA,50.095402896404266
2020-04-12,10 day ahead cum death,2020-04-22,02,Alaska,point,NA,49.796153366565704
2020-04-12,11 day ahead cum death,2020-04-23,02,Alaska,point,NA,49.51909399032593
2020-04-12,12 day ahead cum death,2020-04-24,02,Alaska,point,NA,49.584146708250046
2020-04-12,13 day ahead cum death,2020-04-25,02,Alaska,point,NA,49.125853419303894
2020-04-12,14 day ahead cum death,2020-04-26,02,Alaska,point,NA,49.30956709384918
2020-04-12,1 day ahead cum death,2020-04-13,04,Arizona,point,NA,119.59573262929916
2020-04-12,2 day ahead cum death,2020-04-14,04,Arizona,point,NA,129.63022702932358
2020-04-12,3 day ahead cum death,2020-04-15,04,Arizona,point,NA,150.5699747800827
2020-04-12,4 day ahead cum death,2020-04-16,04,Arizona,point,NA,154.5823304951191
2020-04-12,5 day ahead cum death,2020-04-17,04,Arizona,point,NA,150.5022575855255
2020-04-12,6 day ahead cum death,2020-04-18,04,Arizona,point,NA,152.1832264661789
2020-04-12,7 day ahead cum death,2020-04-19,04,Arizona,point,NA,166.79959592223167
2020-04-12,8 day ahead cum death,2020-04-20,04,Arizona,point,NA,176.50409391522408
2020-04-12,9 day ahead cum death,2020-04-21,04,Arizona,point,NA,188.3268700838089
2020-04-12,10 day ahead cum death,2020-04-22,04,Arizona,point,NA,204.87496650218964
2020-04-12,11 day ahead cum death,2020-04-23,04,Arizona,point,NA,212.15512844920158
2020-04-12,12 day ahead cum death,2020-04-24,04,Arizona,point,NA,216.98012939095497
2020-04-12,13 day ahead cum death,2020-04-25,04,Arizona,point,NA,222.8637757897377
