forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-04-26,1 day ahead cum death,2020-04-27,US,US,point,NA,54962.96340769529
2020-04-26,2 day ahead cum death,2020-04-28,US,US,point,NA,57090.57551562786
2020-04-26,3 day ahead cum death,2020-04-29,US,US,point,NA,59704.33535286784
2020-04-26,4 day ahead cum death,2020-04-30,US,US,point,NA,62039.04113480449
2020-04-26,5 day ahead cum death,2020-05-01,US,US,point,NA,64115.37318858504
2020-04-26,6 day ahead cum death,2020-05-02,US,US,point,NA,66361.0508671403
2020-04-26,7 day ahead cum death,2020-05-03,US,US,point,NA,67456.54604929686
2020-04-26,8 day ahead cum death,2020-05-04,US,US,point,NA,65710.79265326262
2020-04-26,9 day ahead cum death,2020-05-05,US,US,point,NA,67921.37722936273
2020-04-26,10 day ahead cum death,2020-05-06,US,US,point,NA,70644.9496769309
2020-04-26,11 day ahead cum death,2020-05-07,US,US,point,NA,72935.96513447165
2020-04-26,12 day ahead cum death,2020-05-08,US,US,point,NA,75175.27074313164
2020-04-26,13 day ahead cum death,2020-05-09,US,US,point,NA,77022.23759451509
2020-04-26,14 day ahead cum death,2020-05-10,US,US,point,NA,78066.81662797928
2020-04-26,1 day ahead cum death,2020-04-27,01,Alabama,point,NA,260.5251343548298
2020-04-26,2 day ahead cum death,2020-04-28,01,Alabama,point,NA,279.37183079123497
2020-04-26,3 day ahead cum death,2020-04-29,01,Alabama,point,NA,293.3455335497856
2020-04-26,4 day ahead cum death,2020-04-30,01,Alabama,point,NA,296.88710963726044
2020-04-26,5 day ahead cum death,2020-05-01,01,Alabama,point,NA,302.3497849404812
2020-04-26,6 day ahead cum death,2020-05-02,01,Alabama,point,NA,296.94562581181526
2020-04-26,7 day ahead cum death,2020-05-03,01,Alabama,point,NA,305.6557526290417
2020-04-26,8 day ahead cum death,2020-05-04,01,Alabama,point,NA,319.43473568558693
2020-04-26,9 day ahead cum death,2020-05-05,01,Alabama,point,NA,339.4204899966717
2020-04-26,10 day ahead cum death,2020-05-06,01,Alabama,point,NA,350.9236077964306
2020-04-26,11 day ahead cum death,2020-05-07,01,Alabama,point,NA,356.00390884280205
2020-04-26,12 day ahead cum death,2020-05-08,01,Alabama,point,NA,365.1734641492367
2020-04-26,13 day ahead cum death,2020-05-09,01,Alabama,point,NA,362.99845427274704
2020-04-26,14 day ahead cum death,2020-05-10,01,Alabama,point,NA,368.5937502682209
