forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-05-03,1 day ahead cum death,2020-05-04,US,US,point,NA,68029.23091286421
2020-05-03,2 day ahead cum death,2020-05-05,US,US,point,NA,70202.18576580286
2020-05-03,3 day ahead cum death,2020-05-06,US,US,point,NA,72755.8059207201
2020-05-03,4 day ahead cum death,2020-05-07,US,US,point,NA,75126.05828434229
2020-05-03,5 day ahead cum death,2020-05-08,US,US,point,NA,77146.21034562588
2020-05-03,6 day ahead cum death,2020-05-09,US,US,point,NA,78891.0719293356
2020-05-03,7 day ahead cum death,2020-05-10,US,US,point,NA,79955.90079182386
2020-05-03,8 day ahead cum death,2020-05-11,US,US,point,NA,78348.17353516817
2020-05-03,9 day ahead cum death,2020-05-12,US,US,point,NA,80629.93859571218
2020-05-03,10 day ahead cum death,2020-05-13,US,US,point,NA,83250.74757933617
2020-05-03,11 day ahead cum death,2020-05-14,US,US,point,NA,85619.3894174695
2020-05-03,12 day ahead cum death,2020-05-15,US,US,point,NA,87624.92997914553
2020-05-03,13 day ahead cum death,2020-05-16,US,US,point,NA,89141.42750132084
2020-05-03,14 day ahead cum death,2020-05-17,US,US,point,NA,90124.77718442678
2020-05-03,1 day ahead cum death,2020-05-04,01,Alabama,point,NA,317.5339372754097
2020-05-03,2 day ahead cum death,2020-05-05,01,Alabama,point,NA,330.51654428243637
2020-05-03,3 day ahead cum death,2020-05-06,01,Alabama,point,NA,347.3393212556839
2020-05-03,4 day ahead cum death,2020-05-07,01,Alabama,point,NA,363.99154484272003
2020-05-03,5 day ahead cum death,2020-05-08,01,Alabama,point,NA,379.9433569908142
2020-05-03,6 day ahead cum death,2020-05-09,01,Alabama,point,NA,373.6194939017296
2020-05-03,7 day ahead cum death,2020-05-10,01,Alabama,point,NA,377.46447521448135
2020-05-03,8 day ahead cum death,2020-05-11,01,Alabama,point,NA,381.5946328639984
2020-05-03,9 day ahead cum death,2020-05-12,01,Alabama,point,NA,391.4947681427002
2020-05-03,10 day ahead cum death,2020-05-13,01,Alabama,point,NA,407.5069843530655
2020-05-03,11 day ahead cum death,2020-05-14,01,Alabama,point,NA,424.2858667373657
2020-05-03,12 day ahead cum death,2020-05-15,01,Alabama,point,NA,442.1118534207344
